戸,と
門,もん
間,あいだ
火山,かざん
花火,はなび
火,ひ
十一月三日,じゅういちがつ みっか
十二月三十一日,じゅうにがつ さんじゅういちにち
十月十日,じゅうがつ とおか
九月九日,くがつ ここのか
八月八日,はちがつ ようか
七つ,ななつ
八つ,やっつ
七月七日,しちがつ なのか
九つ,ここのつ
三つ,みっつ
聞きます,ききます
新聞,しんぶん
問い,とい
質問,しつもん
人間,にんげん
四つ,よっつ
持ちます,もちます
時間,じかん
東,ひがし
東口,ひがしぐち
作業,さぎょう
東南アジア,とうなんアジア
東京都,とうきょうと
休み,やすみ
明かり,あかり
体,からだ
体操,たいそう
右手,みぎて
手,て
作ります,つくります
手作り,てづくり
選手,せんしゅ
作文,さくぶん
上手,じょうず
東南アジア,とう南アジア
東京都,とう京都
専門,せんもん
山本さん,やまもとさん
十九才,じゅうきゅうさい
大学,だいがく
田中さん,たなかさん
日本語,にほんご
先生,せんせい
机,つくえ
線,せん
土,ど
貝,かい
糸,いと
鉄,てつ
金,きん
お金,おかね
針金,はりがね
言葉,ことば
三番線,さんばんせん
新幹線,しんかんせん
話します,はなします
笑い話,わらいばなし
電話,でんわ
言います,いいます
金曜日,きんようび
製作,せいさく
土曜日,どようび
地図,ちず
地震,じしん
土地,とち
買います,かいます
休日,きゅうじつ
話,はなし
石,いし
会社,かいしゃ
電気,でんき
時計,とけい
八千円,はっせんえん
屋上,おくじょう
花屋,はなや
四国,しこく
二百万,にひゃくまん
北海道,ほっかいどう
部門,ぶもん
会社,かいしゃ
電気,でんき
時計,とけい
八千円,はっせんえん
屋上,おくじょう
花屋,はなや
四国,しこく
二百万,にひゃくまん
北海道,ほっかいどう
部門,ぶもん
研修,けんしゅう
受付,うけつけ
二階,デパートのにかい
教室,きょうしつ
三階,デパートのさんがい
研修生,けんしゅうせい
部屋,へや
地下一階,デパートのちかいっかい
国,くに
家,いえ
研修,けんしゅう
受付,うけつけ
二階,にかい
教室,きょうしつ
三階,さんがい
研修生,けんしゅうせい
部屋,へや
地下一階,ちかいっかい
国,くに
家,いえ
音楽,おんがく
組み立てます,くみたてます
立ちます,たちます
国立大学,こくりつ だいがく
左右,さゆう
左側,ひだりがわ
工場,こうじょう
春,はる
音,おと
左,ひだり
音楽,おんがく
組み立てます,くみたてます
立ちます,たちます
国立大学,こくりつだいがく
左右,さゆう
左側,ひだりがわ
工場,こうじょう
春,はる
音,おと
左,ひだり
土,つち
貝,かい
鉄,てつ
金,きん
お金,おかね
針金,はりがね
青春,せいしゅん
暗い,くらい
暗記,あんき
土,つち
青春,せいしゅん
暗い,くらい
暗記,あんき
水,みず
水曜日,すいようび
日本海,にほんかい
右手,みぎて
体操,たいそう
土地,とち
海,うみ
休日,きゅうじつ
買い物,かいもの
水,みず
水曜日,すいようび
日本海,にほんかい
海,うみ
買いもの,かいもの
作文,さくぶん
専門,せんもん
手作,てづくり
山本さん,やまもとさん
十九才,じゅうきゅうさい
大学,だいがく
上手,じょうず
田中さん,たなかさん
日本語,にほんご
先生,せんせい